platform,meme_template,month,total_engagement,avg_engagement,post_count,total_likes,total_replies
bluesky,change my mind,NaT,12211.0,488.44,25,11729.0,241.0
bluesky,distracted boyfriend,2024-02,757.0,252.33333333333334,3,751.0,3.0
bluesky,distracted boyfriend,2024-03,417.0,208.5,2,399.0,9.0
bluesky,distracted boyfriend,2024-04,346.0,173.0,2,340.0,3.0
bluesky,distracted boyfriend,2024-05,384.0,192.0,2,380.0,2.0
bluesky,distracted boyfriend,2024-06,1234.0,411.3333333333333,3,1178.0,28.0
bluesky,distracted boyfriend,2024-07,2646.0,882.0,3,2560.0,43.0
bluesky,distracted boyfriend,2024-08,1368.0,171.0,8,1308.0,30.0
bluesky,distracted boyfriend,2024-09,5293.0,661.625,8,5157.0,68.0
bluesky,distracted boyfriend,2024-10,17618.0,927.2631578947369,19,17282.0,168.0
bluesky,distracted boyfriend,2024-11,9596.0,274.1714285714286,35,9126.0,235.0
bluesky,distracted boyfriend,2024-12,20937.0,536.8461538461538,39,20285.0,326.0
bluesky,distracted boyfriend,2025-01,7162.0,298.4166666666667,24,6882.0,140.0
bluesky,distracted boyfriend,2025-02,8729.0,396.77272727272725,22,8349.0,190.0
bluesky,distracted boyfriend,2025-03,16302.0,582.2142857142857,28,15604.0,349.0
bluesky,distracted boyfriend,2025-04,7284.0,234.96774193548387,31,6850.0,217.0
bluesky,distracted boyfriend,2025-05,14155.0,786.3888888888889,18,13843.0,156.0
bluesky,distracted boyfriend,2025-06,8965.0,289.19354838709677,31,8419.0,273.0
bluesky,distracted boyfriend,2025-07,9035.0,475.5263157894737,19,8605.0,215.0
bluesky,distracted boyfriend,2025-08,8099.0,506.1875,16,7771.0,164.0
bluesky,distracted boyfriend,2025-09,26064.0,1042.56,25,25418.0,323.0
bluesky,distracted boyfriend,2025-10,17359.0,789.0454545454545,22,16893.0,233.0
bluesky,distracted boyfriend,2025-11,22824.0,1037.4545454545455,22,22292.0,266.0
bluesky,distracted boyfriend,2025-12,365.0,182.5,2,353.0,6.0
bluesky,drake hotline bling,2024-02,353.0,117.66666666666667,3,343.0,5.0
bluesky,drake hotline bling,2024-03,586.0,293.0,2,564.0,11.0
bluesky,drake hotline bling,2024-04,771.0,385.5,2,757.0,7.0
bluesky,drake hotline bling,2024-05,2216.0,443.2,5,2154.0,31.0
bluesky,drake hotline bling,2024-06,730.0,365.0,2,708.0,11.0
bluesky,drake hotline bling,2024-07,325.0,162.5,2,311.0,7.0
bluesky,drake hotline bling,2024-08,375.0,187.5,2,355.0,10.0
bluesky,drake hotline bling,2024-09,767.0,383.5,2,747.0,10.0
bluesky,drake hotline bling,2024-10,704.0,176.0,4,668.0,18.0
bluesky,drake hotline bling,2024-11,5087.0,363.35714285714283,14,4871.0,108.0
bluesky,drake hotline bling,2024-12,9448.0,674.8571428571429,14,9170.0,139.0
bluesky,drake hotline bling,2025-01,3903.0,229.58823529411765,17,3715.0,94.0
bluesky,drake hotline bling,2025-02,6310.0,350.55555555555554,18,6154.0,78.0
bluesky,drake hotline bling,2025-03,5297.0,331.0625,16,5129.0,84.0
bluesky,drake hotline bling,2025-04,3488.0,436.0,8,3420.0,34.0
bluesky,drake hotline bling,2025-05,2621.0,262.1,10,2483.0,69.0
bluesky,drake hotline bling,2025-06,7071.0,471.4,15,6857.0,107.0
bluesky,drake hotline bling,2025-07,464.0,154.66666666666666,3,440.0,12.0
bluesky,drake hotline bling,2025-08,596.0,149.0,4,572.0,12.0
bluesky,drake hotline bling,2025-09,2106.0,421.2,5,2060.0,23.0
